page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
27,1,f. Université et H. Université,"1,004***","1,003***","1,004***","1,000","1,000","1,002","1,001","1,002*"
27,1,Classe d’emploi de la femme [Salariée],,,,,,,,
27,1,Autonome avec aide,"1,128","0,798***","0,726***","0,670***","0,798***","0,804***","0,710***","0,702***"
27,1,Autonome sans aide,"1,290","0,860***","0,822***","0,754***","0,860***","1,010","0,905*","0,853**"
27,1,Aide familiale non rémunérée,"0,745","0,593***","0,694*","0,728","0,593***","0,789","0,557***","0,607**"
27,1,Sans emploi,"1,018","1,015","1,018","0,986","1,015","1,679***","1,440***","1,440***"
27,1,Différence d’âge entre la femme et l’homme [Aucune],,,,,,,,
27,1,Au moins 3 ans de plus,"4,274***","4,895***","2,853***","2,000***","4,895***","4,100***","3,075***","2,729***"
27,1,Un ou deux ans de plus,"1,411***","1,560***","1,429***","1,252***","1,560***","1,547***","1,388***","1,366***"
27,1,Un ou deux ans de moins,"0,926*","0,881**","0,913***","0,911***","0,881**","0,883***","0,906***","0,907**"
27,1,Trois ou 4 ans de moins,"1,012","0,989","0,953","0,986","0,989","1,009","1,024","1,081*"
27,1,Cinq à 7 ans de moins,"1,567***","1,662***","1,271***","1,131***","1,662***","1,471***","1,325***","1,283***"
27,1,Au moins 8 ans de moins,"2,997***","2,726***","1,828***","1,463***","2,726***","2,581***","2,033***","2,046***"
27,1,Présence d’enfants [Variables logiques],,,,,,,,
27,1,Présence d’enfants de 0 à 5 ans,"0,306***","0,260***","0,721***","0,814***","0,260***","0,314***","0,354***","0,395***"
27,1,Présence d’enfants de 6 à 14 ans,"0,382***","0,661***","0,595***","0,629***","0,661***","0,511***","0,539***","0,531***"
27,1,Présence d’enfants de 15 à 17 ans,"0,650***","0,832***","0,582***","0,717***","0,832***","0,599***","0,674***","0,689***"
27,1,Présence d’enfants de 18 à 24 ans,"0,516***","0,632***","0,369***","0,469***","0,632***","0,545***","0,525***","0,583***"
27,1,Propriétaires du logement,"0,405***","0,309***","0,617***","0,715***","0,309***","0,341***","0,330***","0,357***"
28,1,,Francophones du Québec,,,,Anglophones de l’Ontario,,,
28,1,,1986,1996,2006,2011,1986,1996,2006,2011
28,1,Niveau de scolarité et âge de la femme,,,,,,,,
28,1,Moins que le secondaire,"1,416**","5,575***","7,786***","11,481***","0,668*","2,688***","8,765***","12,114***"
28,1,Secondaire,"0,859","3,432***","4,819***","8,178***","0,273***","1,985***","3,732***","8,190***"
28,1,Postsecondaire non-universitaire,"1,284","2,148***","3,878***","5,922***","0,199***","0,848","3,746***","4,007***"
28,1,Université,"1,365","3,208***","17,887***","8,343***","0,085*","2,471","2,279","35,860***"
28,1,(Moins que le secondaire)∙Âge,"0,823***","0,870***","0,971","0,951","0,868***","0,843***","0,846***","0,838***"
28,1,(Secondaire)∙Âge,"0,852***","0,889***","0,976","0,943*","0,921*","0,821***","0,887***","0,785***"
28,1,(PS non-universitaire)∙Âge,"0,801***","0,895***","0,973","0,967","0,940","0,893*","0,866***","0,851***"
28,1,(Université)∙Âge,"0,936","0,902*","0,807***","0,915","1,052","0,771***","0,842**","0,606***"
28,1,(Moins que secondaire)∙Âge²,"1,003***","1,001","0,998**","0,999","1,002*","1,002***","1,002*","1,002"
28,1,(Secondaire)∙Âge²,"1,002***","1,000","0,998**","0,999","1,001","1,003***","1,001","1,005***"
28,1,(PS non-universitaire)∙Âge²,"1,004**","1,001","0,999","0,999","1,000","1,002","1,002","1,003*"
28,1,(Université)∙Âge²,"0,998","1,001","1,004*","1,001","0,997","1,006*","1,004*","1,012***"
28,1,Niveau de scolarité de l’homme [Secondaire],,,,,,,,
28,1,Moins que le secondaire,"1,297***","1,288***","1,353***","1,173","1,330***","1,435***","1,337***","1,157"
28,1,Postsecondaire non universitaire,"0,853*","0,783***","0,807**","0,833*","0,922","0,701***","0,707***","0,719***"
28,1,Université,"0,985","0,625***","0,573***","0,609***","0,650**","0,480***","0,392***","0,499***"
28,1,Différence d’âge entre la femme et l’homme [Aucune],,,,,,,,
28,1,Au moins 3 ans de plus,"4,359***","3,833***","2,540***","1,780***","5,190***","4,071***","2,831***","2,671***"
28,1,Un ou deux ans de plus,"1,521***","1,499***","1,345**","1,091","1,743***","1,687***","1,259","1,151"
28,1,Un ou deux ans de moins,"0,837*","0,919","1,046","0,819","0,891","0,960","0,972","0,843"
28,1,Trois ou 4 ans de moins,"0,887","0,888","0,955","0,930","0,833","1,022","0,975","0,907"
28,1,Cinq à 7 ans de moins,"1,155","1,147*","1,185","1,011","1,486**","1,308*","1,289*","1,203"
28,1,Au moins 8 ans de moins,"2,110***","2,413***","1,696***","1,271*","2,401***","2,337***","1,932***","1,867***"
28,1,Présence d’enfants [Variables logiques],,,,,,,,
28,1,Présence d’enfants de 0 à 5 ans,"0,443***","1,094*","1,082","1,059","0,324***","0,523***","0,460***","0,650***"
28,1,Présence d’enfants de 6 à 14 ans,"0,515***","0,524***","0,763***","0,743***","0,739***","0,673***","0,604***","0,785**"
28,1,Présence d’enfants de 15 à 17 ans,"0,795**","0,595***","0,657***","0,884","0,817","0,874","0,758**","0,736*"
28,1,Présence d’enfants de 18 à 24 ans,"0,630***","0,393***","0,405***","0,551***","0,655**","0,610***","0,576***","0,674**"
28,1,Propriétaires du logement,"0,488***","0,493***","0,591***","0,672***","0,299***","0,298***","0,344***","0,327***"
